Code,State,exante,individual,thirdparty,fgg,consequences,reporting,Link,Citation,Type
Florida Statutes § 119.071(2)(r) ,Florida,0,0,0,0,0,0,https://www.flsenate.gov/Laws/Statutes/2024/119.071,https://www.flsenate.gov/Session/Bill/2023/1327/?Tab=BillText,legal
Florida Statutes § 943.327,Florida,0,0,0,0,0,1,https://casetext.com/statute/florida-statutes/title-xlvii-criminal-procedure-and-corrections/chapter-943-department-of-law-enforcement/section-943327-forensic-investigative-genetic-genealogy-grant-program,https://www.flsenate.gov/Session/Bill/2024/678/BillText/er/PDF,legal
Maryland Criminal Procedure Code §§ 17-101 to 17-105,Maryland,1,1,1,1,1,1,https://mgaleg.maryland.gov/mgawebsite/Laws/StatuteText?article=gcp&section=17-101&enactments=false,legal
Montana Code § 44-6-104,Montana,1,0,0,0,0,0,https://archive.legmt.gov/bills/mca/title_0440/chapter_0060/part_0010/section_0040/0440-0060-0010-0040.html,https://legiscan.com/MT/text/HB602/id/2384004/Montana-2021-HB602-Enrolled.pdf,legal
Utah Code § 53-10-403.7,Utah,0,1,1,1,0,1,https://le.utah.gov/xcode/Title53/Chapter10/53-10-S403.7.html?v=C53-10-S403.7_2023050320230503,https://le.utah.gov/~2023/bills/static/SB0156.html,legal
Alabama Code §§ 8-43-1 to 8-43-6,Alabama,0,0,0,0,0,0,https://dev.alison.legislature.state.al.us/code-of-alabama?section=8-43-1,https://legiscan.com/AL/votes/HB21/2024,platform
Arizona Statutes §§ 44-8001 to 8004,Arizona,0,1,0,0,0,0,https://casetext.com/statute/arizona-revised-statutes/title-44-trade-and-commerce/chapter-39-as-added-by-l2021-ch254-genetic-testing-companies/article-1-general-provisions/section-44-8001-definitions,https://www.azleg.gov/legtext/55leg/1R/laws/0254.pdf,platform
California Civil Code §§ 56.18 to 56.186 ,California,0,1,0,0,0,0,https://law.justia.com/codes/california/code-civ/division-1/part-2-6/chapter-2-6/section-56-18/,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202120220SB41,platform
Florida Statutes § 760.40,Florida,0,0,0,0,0,0,https://www.flsenate.gov/Laws/Statutes/2024/760.40,https://www.flsenate.gov/Session/Bill/2021/833,platform
Florida Statutes § 817.5655,Florida,0,0,0,0,0,0,https://www.flsenate.gov/Laws/Statutes/2024/817.5655,,platform
Kentucky Statutes § 311.705,Kentucky,1,1,0,0,0,0,https://law.justia.com/codes/kentucky/chapter-311/section-311-705/,https://apps.legislature.ky.gov/record/22rs/hb502.html,platform
Maryland Commercial Law Code §§ 14-4401 to 14-4408,Maryland,0,1,0,0,0,0,https://casetext.com/statute/code-of-maryland/article-commercial-law/title-14-miscellaneous-consumer-protection-provisions/subtitle-44-maryland-genetic-information-privacy-act/section-14-4401-definitions,https://mgaleg.maryland.gov/2022RS/Chapters_noln/CH_501_hb0866e.pdf,platform
Minnesota Statutes § 325F.995 ,Minnesota,1,1,0,0,0,0,https://www.revisor.mn.gov/statutes/2023/cite/325F.995,https://www.revisor.mn.gov/bills/text.php?number=SF2744&version=4&session=ls93&session_year=2023&session_number=0&format=pdf,platform
Montana Code §§ 30-23-101 to 30-23-106 ,Montana,1,1,0,0,0,0,https://archive.legmt.gov/bills/mca/title_0300/chapter_0230/part_0010/sections_index.html,https://legiscan.com/MT/text/SB351/id/2810120/Montana-2023-SB351-Enrolled.pdf,platform
Nebraska Statutes § 87-902 ,Nebraska,1,1,0,0,0,0,https://casetext.com/statute/revised-statutes-of-nebraska/chapter-87-trade-practices/article-9-genetic-information-privacy-act/section-87-902-terms-defined,https://nebraskalegislature.gov/FloorDocs/108/PDF/Slip/LB308.pdf,platform
Tennessee Code §§ 47-18-4901 to 47-18-4906,Tennessee,1,1,0,0,0,0,https://casetext.com/statute/tennessee-code/title-47-commercial-instruments-and-transactions/chapter-18-consumer-protection/part-49-genetic-information-privacy-act/section-47-18-4902-part-definitions,https://legiscan.com/TN/text/HB1310/id/2798315,platform
Texas Business & Commerce Code §§ 503A.001 to -503A.008,Texas,0,1,0,0,0,0,https://casetext.com/statute/texas-codes/business-and-commerce-code/title-11-personal-identity-information/subtitle-a-identifying-information/chapter-503a-direct-to-consumer-genetic-testing-companies-rights-regarding-dna/section-503a001-definitions,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=88R&Bill=HB2545,platform
Utah Code § 13-60-101 to 13-60-106,Utah,1,1,0,0,0,0,https://casetext.com/statute/utah-code/title-13-commerce-and-trade/chapter-60-genetic-information-privacy-act/part-1-genetic-information-privacy-act/section-13-60-102-definitions,https://le.utah.gov/~2021/bills/static/SB0227.html,platform
Virginia Code §§ 59.1-593 to 59.1-602,Virginia,0,1,0,0,0,0,https://law.justia.com/codes/virginia/title-59-1/chapter-56/section-59-1-593/,https://lis.virginia.gov/cgi-bin/legp604.exe?231+sum+SB1087,platform
Wyoming Statutes §§ 35-32-101 to 35-32-105,Wyoming,1,1,0,0,1,0,https://law.justia.com/codes/wyoming/title-35/chapter-32/section-35-32-101/,https://www.wyoleg.gov/Legislation/2022/HB0086,platform
Wyoming H.B. 58,Wyoming,0,0,0,0,0,0,None,https://www.wyoleg.gov/Legislation/2024/HB0058,platform
